pruid,prname,prnameFR,date,update,numconf,numprob,numdeaths,numtotal,numtested,numtests,numrecover,percentrecover,ratetested,ratetests,numtoday,percentoday,ratetotal,ratedeaths,numdeathstoday,percentdeath,numtestedtoday,numteststoday,numrecoveredtoday,percentactive,numactive,rateactive,numtotal_last14,ratetotal_last14,numdeaths_last14,ratedeaths_last14,numtotal_last7,ratetotal_last7,numdeaths_last7,ratedeaths_last7,avgtotal_last7,avgincidence_last7,avgdeaths_last7,avgratedeaths_last7
59,British Columbia,Colombie-Britannique,3/26/2020,,725,0,14,725,30238,,186,25.66,5874,,66,10.02,14.08,0.27,0,1.93,1894,,186,72.41,525,10.2,679,13.19,13,0.25,454,8.82,6,0.12,65,1.26,1,0.02
48,Alberta,Alberta,3/26/2020,,486,0,2,486,36600,,27,5.56,8277,,67,15.99,10.99,0.05,0,0.41,1092,,27,94.03,457,10.33,467,10.56,2,0.05,340,7.69,1,0.02,49,1.1,0,0
47,Saskatchewan,Saskatchewan,3/26/2020,,95,0,0,95,6729,,3,3.16,5709,,9,10.47,8.06,0,0,0,618,,3,96.84,92,7.81,94,7.98,0,0,75,6.36,0,0,11,0.91,0,0
46,Manitoba,Manitoba,3/26/2020,,11,25,0,36,5429,,1,2.78,3936,,1,2.86,2.61,0,0,0,689,,1,97.22,35,2.54,35,2.54,0,0,19,1.38,0,0,3,0.2,0,0
35,Ontario,Ontario,3/26/2020,,858,0,15,858,41217,,8,0.93,2797,,170,24.71,5.82,0.1,2,1.75,3177,,8,97.32,835,5.67,799,5.42,14,0.1,600,4.07,13,0.09,86,0.58,2,0.01
24,Quebec,Québec,3/26/2020,,1629,0,8,1629,33311,,2,0.12,3885,,290,21.66,19,0.09,2,0.49,5483,,2,99.39,1619,18.88,1616,18.85,8,0.09,1508,17.59,7,0.08,215,2.51,1,0.01
12,Nova Scotia,Nouvelle-Écosse,3/26/2020,,73,0,0,73,3417,,2,2.74,3489,,5,7.35,7.45,0,0,0,409,,2,97.26,71,7.25,73,7.45,0,0,59,6.02,0,0,8,0.86,0,0
11,Prince Edward Island,Île-du-Prince-Édouard,3/26/2020,,9,0,0,9,353,,1,11.11,2211,,4,80,5.64,0,0,0,52,,1,88.89,8,5.01,9,5.64,0,0,7,4.39,0,0,1,0.63,0,0
1,Canada,Canada,3/26/2020,,4018,25,39,4043,161679,,230,5.69,4254,,634,18.6,10.64,0.1,4,0.96,13814,,230,93.35,3774,9.93,3902,10.27,37,0.1,3170,8.34,27,0.07,453,1.19,4,0.01
59,British Columbia,Colombie-Britannique,3/27/2020,,725,0,14,725,31536,,186,25.66,6126,,0,0,14.08,0.27,0,1.93,1298,,0,72.41,525,10.2,672,13.05,13,0.25,454,8.82,5,0.1,65,1.26,1,0.01
48,Alberta,Alberta,3/27/2020,,542,0,2,542,38215,,27,4.98,8642,,56,11.52,12.26,0.05,0,0.37,1615,,0,94.65,513,11.6,519,11.74,2,0.05,347,7.85,1,0.02,50,1.12,0,0
47,Saskatchewan,Saskatchewan,3/27/2020,,104,0,0,104,7360,,3,2.88,6244,,9,9.47,8.82,0,0,0,631,,0,97.12,101,8.57,103,8.74,0,0,78,6.62,0,0,11,0.95,0,0
46,Manitoba,Manitoba,3/27/2020,,25,14,1,39,6022,,1,2.56,4366,,3,8.33,2.83,0.07,1,2.56,593,,0,94.87,37,2.68,36,2.61,1,0.07,22,1.6,1,0.07,3,0.23,0,0.01
35,Ontario,Ontario,3/27/2020,,993,0,18,993,43651,,8,0.81,2963,,135,15.73,6.74,0.12,3,1.81,2434,,0,97.38,967,6.56,914,6.2,17,0.12,682,4.63,16,0.11,97,0.66,2,0.02
24,Quebec,Québec,3/27/2020,,2021,0,18,2021,34356,,29,1.43,4007,,392,24.06,23.57,0.21,10,0.89,1045,,27,97.67,1974,23.02,2004,23.37,18,0.21,1882,21.95,17,0.2,269,3.14,2,0.03
13,New Brunswick,Nouveau-Brunswick,3/27/2020,,45,0,0,45,2179,,1,2.22,2788,,12,36.36,5.76,0,0,0,330,,1,97.78,44,5.63,44,5.63,0,0,34,4.35,0,0,5,0.62,0,0
12,Nova Scotia,Nouvelle-Écosse,3/27/2020,,90,0,0,90,3946,,2,2.22,4029,,17,23.29,9.19,0,0,0,529,,0,97.78,88,8.99,90,9.19,0,0,75,7.66,0,0,11,1.09,0,0
11,Prince Edward Island,Île-du-Prince-Édouard,3/27/2020,,11,0,0,11,422,,1,9.09,2644,,2,22.22,6.89,0,0,0,69,,0,90.91,10,6.26,11,6.89,0,0,9,5.64,0,0,1,0.81,0,0
1,Canada,Canada,3/27/2020,,4675,14,53,4689,170720,,256,5.46,4492,,646,15.98,12.34,0.14,14,1.13,9041,,26,93.41,4380,11.52,4510,11.87,51,0.13,3685,9.7,40,0.11,526,1.39,6,0.02
59,British Columbia,Colombie-Britannique,3/28/2020,,884,0,16,884,31536,,396,44.8,6126,,159,21.93,17.17,0.31,2,1.81,0,,210,53.39,472,9.17,820,15.93,15,0.29,460,8.94,6,0.12,66,1.28,1,0.02
48,Alberta,Alberta,3/28/2020,,542,0,2,542,38215,,53,9.78,8642,,0,0,12.26,0.05,0,0.37,0,,26,89.85,487,11.01,513,11.6,2,0.05,316,7.15,1,0.02,45,1.02,0,0
47,Saskatchewan,Saskatchewan,3/28/2020,,134,0,0,134,8009,,3,2.24,6795,,30,28.85,11.37,0,0,0,649,,0,97.76,131,11.11,132,11.2,0,0,90,7.64,0,0,13,1.09,0,0
46,Manitoba,Manitoba,3/28/2020,,25,39,1,64,6931,,1,1.56,5025,,25,64.1,4.64,0.07,0,1.56,909,,0,96.88,62,4.5,60,4.35,1,0.07,45,3.26,1,0.07,6,0.47,0,0.01
